file,source_row,source,date,token_count,file_sha256,normalised_sha256
file_1.py,2539,Project_CodeNet,2020,251,2668018aaadfc9ac39e2f8f6c0d18b5bc3ed838c3b4898f632171bfd210a344e,ed1b13674b0497463f3bd1de3a2a13ccc81d4d54982c8b6e632fb1ecd5cf6829
file_2.py,2542,Project_CodeNet,2020,1700,abd89defc754ee754cf08e47f6e2040dfa86b50c669cc045f147a5d1c75a8e6c,882943079295ee00045207a2a2513dfd0841d63d2576dafad5575a106cd13d60
file_3.py,2544,Project_CodeNet,2019,176,c74bc1a192cd156179bde0ed021174ac5af2a910d67b553645a068f7c1f1cf5c,5e5d1c4d8bc853c54b8fb425e7dcf40342e796453b69d1ef55495da86bde9e8a
file_4.py,2545,Project_CodeNet,2019,138,526ecc3968556903535ac7d60298062608c1682d47e41fd81acee548a5d542a4,2b0ea1422de9b9f48bcc5b3165642b0566a7a30b2bd9d21fdf2c9b5d04350f8a
file_5.py,2548,Project_CodeNet,2019,461,f4e01ba2298fc9e0fda60bd54c4c576c59ca478c67d3f9d2ddc29f3f9da1f2f9,a5e90905f0ff9789fe92069f0cc97b465b2d07a31895d4ad40fb737fd1a97561
file_6.py,2551,Project_CodeNet,2019,157,7d67b07780baa89e053190250c3b7223447dc93b3671582fabd465800b636294,7ca62ad923ce8cf788b5840b0fa7fbf9e15a89f36694c3b2790d16c5cc7823d1
file_7.py,2552,Project_CodeNet,2019,151,f8baac8b10a48c8bf5fc4af28c5db2d21abf95f242e937ca8f3318d3f2989063,1f305f02110b6f43da7ef5f67872f38b406f874d5baeb92307fd596c3f64dc47
file_8.py,2554,Project_CodeNet,2019,131,1aa474cb1d0cf41d5cb94aec7c3a5b1c3b7f6d2a8412b3cffea8e91ccd71518f,1ef8810916e74bcc3e50627dbd5dab71257dee9045242e39b40e30284c14388a
file_9.py,2555,Project_CodeNet,2019,247,8858c93069dcdf1bae0d2ba7b0b4e12d7a8dc342e18688807ad6870b42bbbb62,b51624d76d7d9566b5c384ea326445c03b59e51c29afbb5c4971c85e0b139178
file_10.py,2556,Project_CodeNet,2020,130,7bdf6e10918b3c17a3d24b1c69aa01876f99e9eeae9910bcaf2e7b3d342cb013,e19a03350dae34a88750cdf8ce808db52674db1b362ec70fbef8fc741484e194
file_11.py,2559,Project_CodeNet,2019,168,1fae707970e8c1a7e27b8dfefb5dc492dae0fe3682e3f6d90eb10cd74afc5fcc,08693ce239b93998981bbe180f9fc8a36950541e061239f7d98ebce65a1a88b7
file_12.py,2561,Project_CodeNet,2019,1463,a9c367c42fe610ff0f574a0844dda14ad219e8a4ae0405887b6f64aff3683159,d05ba1010ce35b4016d08f4f5454e1ba06dbd42bbc1309f8869481b5e35c962c
file_13.py,2565,Project_CodeNet,2019,170,2303a07012a9b7ebbbd0d41c9e656991daad67dd753321e9e14e14063aaba6d6,3c4bd6394c1096577bf2756108f5bdcaff74c507b7199c06f74fdc4eedd19a5e
file_14.py,2566,Project_CodeNet,2019,169,f3ca1f0b6945f5240c0f092796d4ae02dad8b98f2df97c4d574a7cdbccbabf0d,78c3562c423b2ce1f38ad1d8d5dd77e4ad48ad01e019cb3be0f7309f8f46a56c
file_15.py,2587,Project_CodeNet,2019,140,836b468a7ada2b8de6f41620349673da64273ab5326a2de02966682c6d74b855,cfc1b1c440e271ae09dd993c6f9c2f9870ba305d22690e3a22fd7a0830ade00e
file_16.py,2589,Project_CodeNet,2019,112,bd4a79d2873a5348b75977393c70be74e059bc2fb153cf0ddb172aee18f1a627,9a0417c1ff183267cbe67b4ed6a37aac3489d664a794f0fbfb445a14fcd82d1b
file_17.py,2853,Project_CodeNet,2019,156,79439638cc8ee07f6a7551f0ae018543796bda88e30073f3b663418efe0242d6,7fa7df41df8fbca90c5ea7d9f6982523468d594a0690eb3dab3981c3df1a6de4
file_18.py,2854,Project_CodeNet,2019,243,a0c9e3e1a5dcdcd7b70d97fcdb6ea3dfc5aab571f6fb3475dc5d8a241f47993d,adef86614aecb998043eada0d324eaa5202082419f026aeb93d92f862dc12913
file_19.py,2855,Project_CodeNet,2019,97,f43de4614f97969f1e130c7663ac0e66f7c5a60a0f783194e5ac698de6623881,31b87ef2c279dd03b5be52bb66e89beefeca2ebc1489719c45f7370cb96bb21a
file_20.py,2856,Project_CodeNet,2019,175,bc124ec7af92f6df60f676a738444f82cd9e6be159f21e512c761a616973a4b2,d5ad9b195bd1ff16d272851e1a99dfbffdee5b0ec14ae4c62724e50f28914184
file_21.py,2858,Project_CodeNet,2019,140,0d4896ff369b264e695e03235552328b5bd9cdcb34de67a9e91f9dcda117fa3f,a2c235533c46f384facc55ec2016a000871a9f26f387ba8f18738752d93c7de6
file_22.py,2860,Project_CodeNet,2019,183,e9925521246f185ae4e28a9c3ff701df21b5b541e8571ec0cdf70d6a1154da26,ef000c20784a8705ecd0b94e8f08a8a2d73a569ed6bae02735d897439085041d
file_23.py,2861,Project_CodeNet,2020,244,c7a229b25f779d3135fd2889e470da39f2ce501e3ffeba003b5980045c31953b,fb994456c915aa873da40b64d3aa4e651e70bd5bf4ba1fd6b2ae7212be0dc170
file_24.py,2862,Project_CodeNet,2019,208,6295169673e197c1710b3847d0c2dd5ecdf92f5ee76804a16e36429d04a28bce,d237b49ce124409ee747f124d02e022d872a232e96d7cda4fe1b5d9de268fe10
file_25.py,2863,Project_CodeNet,2019,770,a6e529373f33d2aea465a0a5e6deae994590026e2013655d923dd0bf992b2987,8293e994d4ee99375f8503bf416599987d7689a16224c270ce9cfb404534177f
file_26.py,2864,Project_CodeNet,2020,351,963c1748dbf08c6faeec213470599b02c33790cd8cb951d459b5bbf0fea5840a,2394a70afcac057fbbe2c194d4f969f5add75d819d24095fbe83674d0716ea91
file_27.py,2865,Project_CodeNet,2019,551,59450f7aa34b4dee59fed22a7466fbd4d4d9ce6bb0ea542159cc2ef6bf3ad559,0bfcfdb2cc9029f8251d9a3a1763990fcae1c1fa5823d5205447a196baa29e05
file_28.py,2866,Project_CodeNet,2019,254,322d3e282265ebee8bc077e7f6f7d934244fe4856d73dab11b6b02b42a72f13b,867bc1ea4b726339d362006e47fa664b346c056ed1d765d5564ecba04a611c58
file_29.py,2867,Project_CodeNet,2019,426,6dfb70a602b7431b7b45373d01444ab1c9c2c0878cffd3fdc76290f5923e58fe,5f2b247a689a70304a4867c572d3575ece45f9c0d68b0549af820f86a7ab0dc0
file_30.py,2868,Project_CodeNet,2019,152,fce65c206069f2d7e227df66d26e6f420a9652f8cfad6d4de13878968de06b00,9be03d5f2341e9761de587129ec7b77333528714c74eeace6b1663c983bef2ee
file_31.py,2869,Project_CodeNet,2019,153,5d7daf2005921ddbf2323af08bbda5aa546064eab9d590a4d3c84dbf4c2df0f8,f60f91c3b0b365469da8918851bb4326f002fc457a216f9633e2b573487c9a4d
file_32.py,2870,Project_CodeNet,2019,343,8f09546082cebc1570b960eef714683583eac97ff8a3da0e0a955902ace42bef,1b78e8157a912cbf958551a758432be5dd14a9f7a9c13e9b733581d17f500793
file_33.py,2896,Project_CodeNet,2019,110,d3888e41558ad8d8515e1cfb22028161f8be089452256d589027513835e41764,c40dd959562d58a6946b5d90d41c3e7a06f9a7c9fef72820645e4a332a0b5c86
file_34.py,2897,Project_CodeNet,2019,157,9669e7ff570f0019cd4db86c048a0190838a79a7f93db82f717503701a5adb07,de64ce3adafb0153eb79d72e854ff35030b2b1698dec7787e74d6a8c1c3cf629
file_35.py,2904,Project_CodeNet,2019,117,3c249dde3b0bd15e39fbc309ddc58c8e02526eb659563f5ae338ad2d3449877b,ad8a7a365cd547a49ed28303499a2936b1e53441740f6c8f81f23506aa67723a
file_36.py,2905,Project_CodeNet,2019,130,dc36babb4b9673929a4ea9b2c9c7c32cdf58140fa64a1b28541b8336bf2b1ef1,415d8a774918d28849e5127e15db09bcae2bd62747fb54d32d14745d984dc6e2
file_37.py,2919,Project_CodeNet,2019,120,7942b52e6673ed185d18f221b0a3cac611decd32ea68f4a570661246b330d27f,a23a4e5781643317586ced3f0fdde104df7583685707153f31e6243925b75821
file_38.py,2932,Project_CodeNet,2019,83,44e7a74ea1877bf4994e58780ea76787d19f3a7aa30e57f4a02fea197fe0ee41,ee36c39976ea77293deeef22898d8c17234877a5439afff24edc972307be1e25
file_39.py,2934,Project_CodeNet,2019,179,b62997d2f046556a46d60b7cb68cabb1a728740baca1690b0248af5354399921,61cc9507f8611dcaf27a592c8ed122896fde3944aece8c614dbaf8782d9b6fdf
file_40.py,2947,Project_CodeNet,2019,87,7c8bdf12ae4b2f7f47781e621df4bd074c787425835434338dd423477d5419b2,dc21b8b312bdf04709274b044f4a7ffe9ba72661d24f9e30cfc6ef1d30a7cede
